,optimizer,base_neurons,layers,activation,loss,metric,eval_metric,Метрика R2
2907,AdaGrad,128,2,relu,MSE,MeanAbsolutePercentageError,87.33473205566406,-4.915595980827891
2908,AdaGrad,128,2,relu,MSE,MAE,18.667659759521484,-4.837489052415594
2909,AdaGrad,128,2,relu,MSE,MSE,397.54803466796875,-4.677056735901762
2910,AdaGrad,128,2,relu,Huber,MeanAbsolutePercentageError,84.41384887695312,-5.004251311186466
2911,AdaGrad,128,2,relu,Huber,MAE,19.09088897705078,-5.27983718895052
2912,AdaGrad,128,2,relu,Huber,MSE,413.1164245605469,-4.899375308981167
2913,AdaGrad,128,2,relu,LogCosh,MeanAbsolutePercentageError,84.96833038330078,-5.147518910329139
2914,AdaGrad,128,2,relu,LogCosh,MAE,18.809492111206055,-5.178442412357049
2915,AdaGrad,128,2,relu,LogCosh,MSE,419.6077880859375,-4.99207288525039
2916,AdaGrad,128,2,tanh,MAE,MeanAbsolutePercentageError,98.32414245605469,-6.072439652626067
2917,AdaGrad,128,2,tanh,MAE,MAE,20.641305923461914,-5.910729524834925
2918,AdaGrad,128,2,tanh,MAE,MSE,500.3564147949219,-6.145178759976275
2919,AdaGrad,128,2,tanh,MSE,MeanAbsolutePercentageError,102.43285369873047,-5.7531817948654504
2920,AdaGrad,128,2,tanh,MSE,MAE,20.737852096557617,-5.7196333367923415
2921,AdaGrad,128,2,tanh,MSE,MSE,475.8798522949219,-5.795647914582197
2922,AdaGrad,128,2,tanh,Huber,MeanAbsolutePercentageError,97.6636962890625,-6.104753592022507
2923,AdaGrad,128,2,tanh,Huber,MAE,20.700010299682617,-6.012070227626082
2924,AdaGrad,128,2,tanh,Huber,MSE,492.6722412109375,-6.0354471948381105
2925,AdaGrad,128,2,tanh,LogCosh,MeanAbsolutePercentageError,97.5709457397461,-5.934727682864736
2926,AdaGrad,128,2,tanh,LogCosh,MAE,20.703737258911133,-6.0987211644086186
2927,AdaGrad,128,2,tanh,LogCosh,MSE,487.3710021972656,-5.9597435896479745
2928,AdaGrad,128,2,sigmoid,MAE,MeanAbsolutePercentageError,79.92538452148438,-4.490933385652531
2929,AdaGrad,128,2,sigmoid,MAE,MAE,17.771839141845703,-4.5118751762403635
2930,AdaGrad,128,2,sigmoid,MAE,MSE,417.9289855957031,-4.96809934807929
2931,AdaGrad,128,2,sigmoid,MSE,MeanAbsolutePercentageError,79.68311309814453,-4.149116937944098
2932,AdaGrad,128,2,sigmoid,MSE,MAE,17.805950164794922,-4.396653309992807
2933,AdaGrad,128,2,sigmoid,MSE,MSE,402.9484558105469,-4.7541753233869875
